Country,Базовий,Акцент на ресурси,Акцент на виходи,Акцент на екосистему,Рівномірний
South Korea,1,1,1,1,1
United States,2,8,3,2,2
Japan,3,4,2,12,5
Singapore,4,5,4,6,3
New Zealand,5,14,7,3,4
Sweden,6,7,8,11,8
Israel,7,2,12,16,6
Finland,8,6,6,17,9
Switzerland,9,9,5,15,11
Germany,10,3,10,23,10
Estonia,11,13,17,4,7
Australia,12,16,11,5,12
United Kingdom,13,12,13,8,13
Denmark,14,11,9,18,14
Iceland,15,19,15,9,16
Austria,16,10,16,26,15
Norway,17,24,14,21,18
Canada,18,22,18,24,20
Slovakia,19,21,26,14,17
Luxembourg,20,29,21,13,19
Slovenia,21,20,19,32,23
China,22,25,25,22,22
Portugal,23,23,24,27,24
France,24,18,23,35,26
Malta,25,38,29,7,21
Ireland,26,27,22,28,29
Malaysia,27,17,35,33,27
Tunisia,28,15,36,38,28
Netherlands,29,31,20,36,32
Czechia,30,26,27,37,31
Uzbekistan,31,28,38,19,25
Cyprus,32,48,32,10,30
Belgium,33,30,28,47,36
Peru,34,41,43,20,33
Croatia,35,34,33,43,37
Spain,36,32,30,51,38
Chile,37,45,40,25,34
Thailand,38,35,45,31,35
Lithuania,39,37,37,42,39
Greece,40,33,34,55,40
Italy,41,36,31,58,44
Latvia,42,55,39,34,43
Ukraine,43,42,47,39,42
Colombia,44,49,48,29,41
Romania,45,44,46,49,46
Trinidad and Tobago,46,46,49,41,45
Hungary,47,47,41,52,49
Serbia,48,43,44,59,48
Panama,49,63,55,30,47
India,50,39,56,63,50
Brazil,51,61,50,44,52
Belarus,52,40,51,70,53
Philippines,53,54,60,48,51
South Africa,54,59,53,46,54
Poland,55,58,42,69,61
Moldova,56,57,59,53,56
Madagascar,57,62,62,45,55
Kazakhstan,58,56,58,56,57
Saudi Arabia,59,51,54,66,60
Mexico,60,52,61,60,58
Armenia,61,68,57,40,59
Bulgaria,62,60,52,64,65
Mongolia,63,66,63,50,62
Morocco,64,53,64,68,63
Algeria,65,50,66,71,64
North Macedonia,66,65,65,65,67
El Salvador,67,64,69,61,66
Georgia,68,67,68,62,68
Uruguay,69,70,67,57,69
Guatemala,70,75,72,54,70
Costa Rica,71,74,71,67,71
Argentina,72,72,70,72,72
Azerbaijan,73,71,73,73,74
Pakistan,74,69,75,74,73
Bosnia and Herzegovina,75,73,74,75,75
